File	Id	Title	Catalogue number	Date of publication	Number of entries	Number of desc	Collaborator	Title of the catalogue
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000025.xml	CAT_000025	RDA, N°31 (Mai-Juin 1872)	31	1872-05	174	176	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000026.xml	CAT_000026	RDA, N°32 (Mai-Juin 1872)	32	1872-08	203	203	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000027.xml	CAT_000027	RDA, N°33 (Novembre 1872)	33	1872-11	120	121	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000028.xml	CAT_000028	RDA, N°34 (Février 1873)	34	1873-02	206	207	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000029.xml	CAT_000029	RDA, N°35 (Mai 1873)	35	1873-05	71	71	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000030.xml	CAT_000030	RDA, N°38 (Février 1874)	38	1874-02	240	242	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000031.xml	CAT_000031	RDA, N°39 (Mars 1874)	39	1874-03	149	149	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000032.xml	CAT_000032	RDA, N°40 (Mai 1874)	40	1874-05	142	143	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000033.xml	CAT_000033	RDA, N°41 (Juin 1874)	41	1874-06	180	182	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000034.xml	CAT_000034	RDA, N°43 (Janvier 1875)	43	1875-01	181	181	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000035.xml	CAT_000035	RDA, N°44 (Mars 1875)	44	1875-03	174	174	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000036.xml	CAT_000036	RDA, N°45 (Mai 1875)	45	1875-05	40	40	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000037.xml	CAT_000037	RDA, N°36 (Juin 1873)	36	1873-06	193	195	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000038.xml	CAT_000038	RDA, N°48 (Juillet 1876)	48	1876-07	215	215	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000039.xml	CAT_000039	RDA, N°49 (Novembre 1876)	49	1876-11	115	117	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000040.xml	CAT_000040	RDA, N°51 (Mars 1877)	51	1877-03	123	124	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000041.xml	CAT_000041	RDA, N°52 (Mai 1877)	52	1877-05	152	152	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000042.xml	CAT_000042	RDA, N°53 (Février 1878)	53	1878-02	133	133	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000043.xml	CAT_000043	RDA, N°54 (Juin 1878)	54	1878-06	179	186	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000044.xml	CAT_000044	RDA, N°55 (Décembre 1878)	55	1878-12	212	212	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000045.xml	CAT_000045	RDA, N°56 (Mars 1879)	56	1879-03	189	191	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000046.xml	CAT_000046	RDA, N°57 (Juillet 1879)	57	1879-07	140	140	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000047.xml	CAT_000047	RDA, N°58 (Novembre 1879)	58	1879-11	259	274	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000048.xml	CAT_000048	RDA, N°59 (Décembre 1879)	59	1879-12	223	227	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000049.xml	CAT_000049	RDA, N°61 (Mars 1880)	61	1880-03	187	187	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000050.xml	CAT_000050	RDA, N°62 (Mai 1880)	62	1880-05	180	181	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000051.xml	CAT_000051	RDA, N°63 (Juillet 1880)	63	1880-07	167	181	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
file:/Users/gabaysimon/GitHub/Data/1-100/CAT_000052.xml	CAT_000052	RDA, N°64 (Octobre 1880)	64	1880-10	210	213	Lucie Rondeau du Noyer	REVUE DES AUTOGRAPHES, DES CURIOSITÉS DE L'HISTOIRE ET DE LA BIOGRAPHIE
